drop_fraction,repeat,cp_f1,cp_count,cp_times,sample_id,cluster
0.1,47,1.0,3,"[60.970205042522096, 132.1021109254645, 193.07231596798658]",S0013,1
0.1,48,0.8,2,"[60.970205042522096, 193.07231596798658]",S0013,1
0.1,49,0.8,2,"[50.808504202101744, 193.07231596798658]",S0013,1
0.05,0,1.0,1,[81.29360672336276],S0014,1
0.05,1,1.0,1,[91.45530756378311],S0014,1
0.05,2,1.0,1,[91.45530756378311],S0014,1
0.05,3,1.0,1,[91.45530756378311],S0014,1
0.05,4,1.0,1,[91.45530756378311],S0014,1
0.05,5,1.0,1,[91.45530756378311],S0014,1
0.05,6,1.0,1,[91.45530756378311],S0014,1
0.05,7,1.0,1,[91.45530756378311],S0014,1
0.05,8,1.0,1,[91.45530756378311],S0014,1
0.05,9,1.0,1,[91.45530756378311],S0014,1
0.05,10,1.0,1,[91.45530756378311],S0014,1
0.05,11,1.0,1,[91.45530756378311],S0014,1
0.05,12,1.0,1,[91.45530756378311],S0014,1
0.05,13,1.0,1,[91.45530756378311],S0014,1
0.05,14,1.0,1,[91.45530756378311],S0014,1
0.05,15,1.0,1,[91.45530756378311],S0014,1
0.05,16,1.0,1,[91.45530756378311],S0014,1
0.05,17,1.0,1,[91.45530756378311],S0014,1
0.05,18,1.0,1,[91.45530756378311],S0014,1
0.05,19,1.0,1,[91.45530756378311],S0014,1
0.05,20,1.0,1,[91.45530756378311],S0014,1
0.05,21,1.0,1,[91.45530756378311],S0014,1
0.05,22,1.0,1,[81.29360672336276],S0014,1
0.05,23,1.0,1,[91.45530756378311],S0014,1
0.05,24,1.0,1,[91.45530756378311],S0014,1
0.05,25,1.0,1,[91.45530756378311],S0014,1
0.05,26,1.0,1,[91.45530756378311],S0014,1
0.05,27,1.0,1,[91.45530756378311],S0014,1
0.05,28,1.0,1,[91.45530756378311],S0014,1
0.05,29,1.0,1,[91.45530756378311],S0014,1
0.05,30,1.0,1,[91.45530756378311],S0014,1
0.05,31,1.0,1,[91.45530756378311],S0014,1
0.05,32,1.0,1,[91.45530756378311],S0014,1
0.05,33,1.0,1,[91.45530756378311],S0014,1
0.05,34,1.0,1,[91.45530756378311],S0014,1
0.05,35,1.0,1,[91.45530756378311],S0014,1
0.05,36,1.0,1,[91.45530756378311],S0014,1
0.05,37,1.0,1,[91.45530756378311],S0014,1
0.05,38,1.0,1,[91.45530756378311],S0014,1
0.05,39,1.0,1,[91.45530756378311],S0014,1
0.05,40,1.0,1,[91.45530756378311],S0014,1
0.05,41,1.0,1,[91.45530756378311],S0014,1
0.05,42,1.0,1,[91.45530756378311],S0014,1
0.05,43,1.0,1,[81.29360672336276],S0014,1
0.05,44,1.0,1,[91.45530756378311],S0014,1
0.05,45,1.0,1,[101.61700840420349],S0014,1
0.05,46,1.0,1,[91.45530756378311],S0014,1
0.05,47,1.0,1,[91.45530756378311],S0014,1
0.05,48,1.0,1,[91.45530756378311],S0014,1
0.05,49,1.0,1,[91.45530756378311],S0014,1
0.1,0,1.0,1,[81.29360672336276],S0014,1
0.1,1,1.0,1,[101.61700840420349],S0014,1
0.1,2,1.0,1,[101.61700840420349],S0014,1
0.1,3,1.0,1,[101.61700840420349],S0014,1
0.1,4,1.0,1,[91.45530756378311],S0014,1
0.1,5,1.0,1,[91.45530756378311],S0014,1
0.1,6,1.0,1,[91.45530756378311],S0014,1
0.1,7,1.0,1,[101.61700840420349],S0014,1
0.1,8,1.0,1,[91.45530756378311],S0014,1
0.1,9,1.0,1,[91.45530756378311],S0014,1
0.1,10,1.0,1,[91.45530756378311],S0014,1
0.1,11,1.0,1,[101.61700840420349],S0014,1
0.1,12,1.0,1,[91.45530756378311],S0014,1
0.1,13,1.0,1,[91.45530756378311],S0014,1
