curve_id,included_strict_150h,exclusion_reasons,source_file,record,series_name,x_name,x_unit,y_name,y_unit,time_factor_to_hours,n_unique_points_after_mean,duplicate_x_rows_aggregated_by_mean,x_min_hours_before_rezero,x_max_hours_before_rezero,duration_hours
图片57_216860fddd,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片57/accepted/samples_test__unknown__unknown__图片57__Series_1__Series_1.csv,图片57,samples_test__unknown__unknown__图片57__Series_1__Series_1,,,,,,53,0,,,
图片57_89f946ae99,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片57/accepted/samples_test__unknown__unknown__图片57__Series_2__Series_2.csv,图片57,samples_test__unknown__unknown__图片57__Series_2__Series_2,,,,,,53,0,,,
图片6_f3dd652d25,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_1__Series_1.csv,图片6,samples_test__unknown__unknown__图片6__Series_1__Series_1,Cycle (numbers),(numbers),Normalized PCE,,,64,0,,,
图片6_7f105dcfce,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_2__Series_2.csv,图片6,samples_test__unknown__unknown__图片6__Series_2__Series_2,Cycle (numbers),(numbers),Normalized PCE,,,63,0,,,
图片6_03838814d9,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_3__Series_3.csv,图片6,samples_test__unknown__unknown__图片6__Series_3__Series_3,Cycle (numbers),(numbers),Normalized PCE,,,62,0,,,
图片6_54ad41d28d,False,x_axis_is_cycles,lab-v2/som_references/accepted/samples_test/图片6/accepted/samples_test__unknown__unknown__图片6__Series_4__Series_4.csv,图片6,samples_test__unknown__unknown__图片6__Series_4__Series_4,Cycle (numbers),(numbers),Normalized PCE,,,63,0,,,
图片60_816c533967,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_1__Series_1.csv,图片60,samples_test__unknown__unknown__图片60__Series_1__Series_1,,,,,,43,0,,,
图片60_d59f3ce573,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_2__Series_2.csv,图片60,samples_test__unknown__unknown__图片60__Series_2__Series_2,,,,,,17,0,,,
图片60_3898888a90,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_3__Series_3.csv,图片60,samples_test__unknown__unknown__图片60__Series_3__Series_3,,,,,,52,0,,,
图片60_2ea5c1ecd1,False,x_axis_not_explicit_time,lab-v2/som_references/accepted/samples_test/图片60/accepted/samples_test__unknown__unknown__图片60__Series_4__Series_4.csv,图片60,samples_test__unknown__unknown__图片60__Series_4__Series_4,,,,,,56,0,,,
