k,cluster_a,cluster_b,center_distance,within_radius_sum,separation_to_spread
12,9,11,0.3414958758370773,0.31011832055149013,1.101179302241118
12,9,12,0.322251926126396,0.3181771791691893,1.0128065342959118
12,10,11,0.25790576922482217,0.21808559516853876,1.1825896571734138
12,10,12,0.340654551934453,0.22614445378623788,1.5063581981827214
12,11,12,0.36138420370977264,0.3160552422033428,1.1434210082719216
13,1,2,0.11271129603525303,0.1419374186209278,0.7940914885613852
13,1,3,0.12713055195055445,0.10778901050654108,1.1794388996904248
13,1,4,0.20788552869889787,0.11688623307408641,1.7785287730774337
13,1,5,0.26594060466212777,0.15834669617747774,1.679483128363202
13,1,6,0.2929622682987359,0.12707375987921588,2.30545053972746
13,1,7,0.5144975310026598,0.14350649625226986,3.585186346534622
13,1,8,0.391676131642834,0.11162495808632944,3.5088580399727114
