k,sigma,seed,qe_elastic,occupied,silhouette_elastic,method,assigned_l2_centroid_error,silhouette_l2
8,0.8,11,0.03226768483697869,8,-0.007881010900076122,dtw_0,0.13217718107366275,-0.005603682556400903
8,0.8,29,0.02999239315454889,8,-0.07730299382188122,dtw_0,0.12817404552204387,-0.02847722472432578
8,0.8,47,0.030668094758048735,8,-0.08810431432539656,dtw_0,0.1239767647083529,-0.03332134025881563
8,0.8,71,0.041921317852530504,8,-0.220666639565699,dtw_0,0.14389748830559984,-0.11586745656824152
8,0.8,101,0.03641106751442348,8,-0.1732873366332249,dtw_0,0.13148291494553282,-0.0544707550207675
9,0.8,11,0.03053900017936756,9,-0.09539428921501522,dtw_0,0.12267915241810688,-0.04506123477707585
9,0.8,29,0.03209816179602138,9,-0.1418482375530787,dtw_0,0.12665876405696633,-0.02401143369890936
9,0.8,47,0.031165574244640774,9,-0.13584270797342252,dtw_0,0.1289772735744704,-0.07658792546337273
9,0.8,71,0.02948943872359843,9,-0.07970001502728094,dtw_0,0.1259592481524504,-0.03042893494147009
9,0.8,101,0.02956676689831388,9,-0.1199078208091482,dtw_0,0.12863466552693836,-0.08942729857838252
10,0.8,11,0.029645958343260198,10,-0.09371855364375878,dtw_0,0.12469974094943158,-0.03807873387845642
10,0.8,29,0.02915328260077082,10,-0.09177407688473209,dtw_0,0.12440118099495723,-0.05759238549132918
10,0.8,47,0.030836781604846646,10,-0.14804237388570216,dtw_0,0.12752737849020218,-0.11972896706988596
10,0.8,71,0.03136780531534041,10,-0.16086325285429637,dtw_0,0.12710455783488198,-0.060269646487582644
10,0.8,101,0.029353004938499263,10,-0.1210739591604293,dtw_0,0.12509672858183732,-0.07712578135715556
11,0.8,11,0.029543151901061132,11,-0.10183777838875556,dtw_0,0.12707580924058762,-0.05344094358895665
11,0.8,29,0.029570119351609598,11,-0.11750316621096848,dtw_0,0.12526595239313104,-0.07541565180518195
11,0.8,47,0.028340472610303463,11,-0.04916133128801009,dtw_0,0.12271874101520995,-0.052521169464548795
11,0.8,71,0.028127416928599887,11,-0.07195746956878914,dtw_0,0.12301594364765635,-0.07267013775990284
