k,sigma,lr,seed,iterations,grid,qe,occupied,silhouette,topographic_error,norm
10,1.0,0.1,29,50000,2x5,0.2622202417495817,10,0.21898506236423468,0.01834862385321101,zscore
10,1.0,0.1,47,50000,2x5,0.26127234161010615,10,0.2225463559728508,0.013761467889908258,zscore
10,1.0,0.1,71,50000,2x5,0.2617368600971032,10,0.1709283081836868,0.04128440366972477,zscore
10,1.0,0.1,101,50000,2x5,0.2603592067905145,10,0.21668090644511484,0.013761467889908258,zscore
11,1.0,0.1,11,50000,1x11,0.25587324756540886,11,0.17320347489470733,0.3486238532110092,zscore
11,1.0,0.1,29,50000,1x11,0.2542474118519222,11,0.2208834927625053,0.29357798165137616,zscore
11,1.0,0.1,47,50000,1x11,0.25673932755052653,11,0.19436293061487234,0.481651376146789,zscore
11,1.0,0.1,71,50000,1x11,0.25514868361443843,11,0.2102967938913525,0.44036697247706424,zscore
11,1.0,0.1,101,50000,1x11,0.2562625478321349,11,0.1905546518620693,0.5229357798165137,zscore
12,1.0,0.1,11,50000,3x4,0.2511480683766093,12,0.1758664327162958,0.027522935779816515,zscore
12,1.0,0.1,29,50000,3x4,0.2512876069858778,12,0.19004756263007153,0.03211009174311927,zscore
12,1.0,0.1,47,50000,3x4,0.25333832676280776,12,0.19631032987617744,0.01834862385321101,zscore
12,1.0,0.1,71,50000,3x4,0.25253136529132725,12,0.19134812156271844,0.03669724770642202,zscore
12,1.0,0.1,101,50000,3x4,0.2525860522901211,12,0.1722992130297508,0.03211009174311927,zscore
13,1.0,0.1,11,50000,1x13,0.24548955179247364,13,0.19519860777676676,0.40825688073394495,zscore
13,1.0,0.1,29,50000,1x13,0.24584936767124446,13,0.18173844555443278,0.44495412844036697,zscore
13,1.0,0.1,47,50000,1x13,0.24162116124917898,13,0.1836734476495434,0.3348623853211009,zscore
13,1.0,0.1,71,50000,1x13,0.2466115213320954,13,0.1563911766922539,0.24770642201834864,zscore
13,1.0,0.1,101,50000,1x13,0.24428135154940658,13,0.18887096781083793,0.44495412844036697,zscore
14,1.0,0.1,11,50000,2x7,0.23771740850493,14,0.20156792680311333,0.01834862385321101,zscore
14,1.0,0.1,29,50000,2x7,0.2405711280056977,14,0.18111541195003286,0.06880733944954129,zscore
14,1.0,0.1,47,50000,2x7,0.2440636743543039,14,0.14261353404348795,0.045871559633027525,zscore
14,1.0,0.1,71,50000,2x7,0.24152999761957294,14,0.18450305077939572,0.0871559633027523,zscore
14,1.0,0.1,101,50000,2x7,0.2387755899858914,14,0.17803976974491384,0.05045871559633028,zscore
15,1.0,0.1,11,50000,3x5,0.2396244537414087,15,0.1372973659521299,0.027522935779816515,zscore
15,1.0,0.1,29,50000,3x5,0.23546239231956212,15,0.1686922054382386,0.04128440366972477,zscore
15,1.0,0.1,47,50000,3x5,0.23567778478171592,15,0.1789378448729492,0.03669724770642202,zscore
15,1.0,0.1,71,50000,3x5,0.23861386387530437,15,0.1703415761662673,0.0871559633027523,zscore
15,1.0,0.1,101,50000,3x5,0.23818859370058407,15,0.16521468221537047,0.045871559633027525,zscore
16,1.0,0.1,11,50000,4x4,0.23329230816972849,16,0.17050295500059223,0.03669724770642202,zscore
16,1.0,0.1,29,50000,4x4,0.2325552381690471,16,0.13733606809968782,0.13761467889908258,zscore
16,1.0,0.1,47,50000,4x4,0.23397921659623777,16,0.1438103831276087,0.04128440366972477,zscore
16,1.0,0.1,71,50000,4x4,0.23281437124933044,16,0.15571221494541307,0.027522935779816515,zscore
16,1.0,0.1,101,50000,4x4,0.2340584807977326,16,0.1580867330405621,0.03211009174311927,zscore
