id_a,id_b,cluster,DTW
C140,C099,1,0.6578264790248581
C140,C100,1,0.7410604497801679
C140,C103,1,0.2109364702745664
C140,C104,1,0.2882176760834087
C140,C105,1,0.1433311784862571
C140,C106,1,0.22624935072981286
C140,C109,1,0.2962517541699514
C140,C110,1,0.39961452924896085
C140,C118,1,0.2725491903619175
C140,C129,1,0.2539855000374343
C140,C130,1,0.17213317676416878
C140,C139,1,0.29195639693168396
C141,C005,1,0.26511978405289244
C141,C006,1,0.22217015518191474
C141,C007,1,0.12753322486645527
C141,C008,1,0.40918850612145896
C141,C009,1,0.4014171239897236
C141,C010,1,0.42564376930603115
C141,C014,1,0.10328447641214351
C141,C015,1,0.36089945653009864
C141,C016,1,0.9170292776263042
C141,C017,1,0.22497824338345357
C141,C018,1,0.4442918533266022
C141,C019,1,0.41640047473731384
C141,C025,1,0.11034232415471819
C141,C028,1,0.09263300695445051
C141,C030,1,0.21782507259492528
C141,C031,1,0.29133580635438683
C141,C034,1,0.4547254751819162
C141,C035,1,0.3694816842296284
C141,C036,1,0.6393278012344168
C141,C037,1,0.12150185443354264
C141,C038,1,0.12266099604660108
C141,C045,1,0.1335755121214501
C141,C046,1,0.14552747158817345
C141,C047,1,0.38547374135869567
C141,C050,1,0.15821622763838358
C141,C051,1,0.4527830698998735
C141,C052,1,0.3037565462244648
C141,C053,1,0.3692374295722939
C141,C056,1,0.11523378975278693
C141,C057,1,0.23441608084426022
C141,C061,1,0.11543364797248462
C141,C062,1,0.13935658549594365
C141,C063,1,0.2074639428341079
C141,C064,1,0.2028322545861572
C141,C065,1,0.21843831891842408
C141,C086,1,0.21919282021029207
C141,C087,1,0.24301368211935412
C141,C091,1,0.3154014374927067
C141,C092,1,0.1621112627712087
C141,C093,1,0.34138937037448913
C141,C095,1,0.24918635114734744
C141,C099,1,0.6391162941027321
C141,C100,1,0.7120290787141473
C141,C103,1,0.24949347232019842
C141,C104,1,0.2197846107349997
C141,C105,1,0.21711314220538497
C141,C106,1,0.3804025603758579
C141,C109,1,0.37215471336558764
C141,C110,1,0.5445666327573954
C141,C118,1,0.2570115779900655
C141,C129,1,0.2638037114475208
C141,C130,1,0.3767782011181096
C141,C139,1,0.22464167246807232
C141,C140,1,0.1384338804262775
C150,C005,1,0.2476665173380762
C150,C006,1,0.3426409011221497
C150,C007,1,0.13798773051331778
C150,C008,1,0.4539135961267162
C150,C009,1,0.4584726367227962
C150,C010,1,0.5020442095650279
C150,C014,1,0.17106099236100017
C150,C015,1,0.48775918047171074
C150,C016,1,0.9660361782986101
C150,C017,1,0.2254924293367343
C150,C018,1,0.48459155793139713
C150,C019,1,0.4782352974185436
C150,C025,1,0.1456750757009609
C150,C028,1,0.18516349453425432
C150,C030,1,0.3354562123814079
C150,C031,1,0.33644125678932857
C150,C034,1,0.4004206472694701
C150,C035,1,0.35674725333827095
C150,C036,1,0.5338630396627793
C150,C037,1,0.20277405771133264
C150,C038,1,0.2280858350198647
C150,C045,1,0.23622087526308094
C150,C046,1,0.21391786703005736
C150,C047,1,0.3562383614083806
C150,C050,1,0.254766319995528
C150,C051,1,0.535052082660461
C150,C052,1,0.3307552362179933
C150,C053,1,0.4235865247897538
C150,C056,1,0.22260326467119573
C150,C057,1,0.3679159393899396
C150,C061,1,0.1640919845115423
C150,C062,1,0.22283366992962902
C150,C063,1,0.30179023548456374
C150,C064,1,0.3120712028152277
C150,C065,1,0.29438062016866107
C150,C086,1,0.3050294100115179
C150,C087,1,0.2823534661650065
C150,C091,1,0.42755417820721625
C150,C092,1,0.25142266056030843
C150,C093,1,0.4418658443812788
C150,C095,1,0.3238097777070778
C150,C099,1,0.6105752141941198
C150,C100,1,0.690343298643187
C150,C103,1,0.26183030730767043
C150,C104,1,0.2473717329833847
C150,C105,1,0.3396883149718118
C150,C106,1,0.42634340337472926
C150,C109,1,0.4666566048490005
C150,C110,1,0.6003714914457885
C150,C118,1,0.3677817946102655
C150,C129,1,0.37258160752542074
C150,C130,1,0.4486258742577231
C150,C139,1,0.19795212680944346
C150,C140,1,0.22957951994688447
C150,C141,1,0.19469753510703525
C151,C005,1,0.6060842694572295
C151,C006,1,0.669817900151496
C151,C007,1,0.8784788566432984
C151,C008,1,0.5262638729892282
C151,C009,1,0.5760246725088826
C151,C010,1,0.5556385478765437
C151,C014,1,0.8373139088815597
C151,C015,1,0.5783673457524457
C151,C016,1,1.0225163228345369
C151,C017,1,0.9931442096308116
C151,C018,1,0.58374251908733
C151,C019,1,0.544332972077017
C151,C025,1,0.7034396942086768
C151,C028,1,0.8349321346783218
C151,C030,1,0.6668987939572303
C151,C031,1,0.8620833936504505
C151,C034,1,0.4954201732536265
C151,C035,1,0.5202947971187004
C151,C036,1,0.4280463121351766
C151,C037,1,0.6574081178536564
C151,C038,1,0.6579635065477552
C151,C045,1,0.6681903186623148
C151,C046,1,0.7694921079962257
C151,C047,1,1.100051590240556
C151,C050,1,0.7090022796161393
C151,C051,1,0.8720429437287773
C151,C052,1,0.6208674523445286
