K,mode,replicate,ARI
5,bootstrap95,29,0.6390133055716001
6,bootstrap95,29,0.6421879074378629
7,bootstrap95,29,0.6376165629836694
8,bootstrap95,29,0.9881772514009716
9,bootstrap95,29,0.9829529037850332
10,bootstrap95,29,0.7738036854292916
2,bootstrap95,30,1.0
3,bootstrap95,30,0.7230069563492626
4,bootstrap95,30,0.7166419753086419
5,bootstrap95,30,0.7234103623631863
6,bootstrap95,30,0.7258442245221727
7,bootstrap95,30,0.7433350010721178
8,bootstrap95,30,0.9959873015021639
9,bootstrap95,30,0.8817203950797456
10,bootstrap95,30,0.49768796026716905
2,bootstrap95,31,0.8307964923440411
3,bootstrap95,31,0.7072825401275671
4,bootstrap95,31,0.7391575663026521
5,bootstrap95,31,0.6840681037596655
6,bootstrap95,31,0.7701540848956048
7,bootstrap95,31,0.7804672470509274
