k,sigma,lr,seed,iterations,grid,qe,occupied,method
15,0.5,0.3,47,50000,3x5,0.27389896128351743,15,threshold_p02
15,0.5,0.3,71,50000,3x5,0.2742442704769118,15,threshold_p02
15,0.5,0.3,101,50000,3x5,0.27289958515177903,15,threshold_p02
16,0.5,0.3,11,50000,4x4,0.25706556711778744,16,threshold_p02
16,0.5,0.3,29,50000,4x4,0.2608454987208675,16,threshold_p02
16,0.5,0.3,47,50000,4x4,0.25950982046015775,16,threshold_p02
16,0.5,0.3,71,50000,4x4,0.2612155409064844,16,threshold_p02
16,0.5,0.3,101,50000,4x4,0.25771139050977127,16,threshold_p02
1,0.5,0.3,11,50000,1x1,0.9502101688589409,1,threshold_p03
1,0.5,0.3,29,50000,1x1,0.9691301218323355,1,threshold_p03
1,0.5,0.3,47,50000,1x1,1.0431877617311909,1,threshold_p03
1,0.5,0.3,71,50000,1x1,1.0769473535140957,1,threshold_p03
1,0.5,0.3,101,50000,1x1,1.0313952649051705,1,threshold_p03
2,0.5,0.3,11,50000,1x2,0.6622773691362173,2,threshold_p03
2,0.5,0.3,29,50000,1x2,0.6543886306239269,2,threshold_p03
2,0.5,0.3,47,50000,1x2,0.669961521242088,2,threshold_p03
2,0.5,0.3,71,50000,1x2,0.6460106381177676,2,threshold_p03
2,0.5,0.3,101,50000,1x2,0.6300469420474683,2,threshold_p03
3,0.5,0.3,11,50000,1x3,0.5802263317006917,3,threshold_p03
3,0.5,0.3,29,50000,1x3,0.5839756238192051,3,threshold_p03
3,0.5,0.3,47,50000,1x3,0.5678689662832066,3,threshold_p03
3,0.5,0.3,71,50000,1x3,0.5870577343449788,3,threshold_p03
3,0.5,0.3,101,50000,1x3,0.5940867427035075,3,threshold_p03
4,0.5,0.3,11,50000,2x2,0.584496039279949,4,threshold_p03
4,0.5,0.3,29,50000,2x2,0.5335525008058445,4,threshold_p03
4,0.5,0.3,47,50000,2x2,0.5258458853189963,4,threshold_p03
4,0.5,0.3,71,50000,2x2,0.5312911994248184,4,threshold_p03
4,0.5,0.3,101,50000,2x2,0.535125789063108,4,threshold_p03
5,0.5,0.3,11,50000,1x5,0.4698058739704204,5,threshold_p03
5,0.5,0.3,29,50000,1x5,0.4654396289517959,5,threshold_p03
5,0.5,0.3,47,50000,1x5,0.5161992549177606,5,threshold_p03
5,0.5,0.3,71,50000,1x5,0.4641856401864191,5,threshold_p03
5,0.5,0.3,101,50000,1x5,0.5304099546654406,5,threshold_p03
6,0.5,0.3,11,50000,2x3,0.4556372500684842,6,threshold_p03
6,0.5,0.3,29,50000,2x3,0.4455565009755766,6,threshold_p03
6,0.5,0.3,47,50000,2x3,0.4544930960938632,6,threshold_p03
6,0.5,0.3,71,50000,2x3,0.4563067012692175,6,threshold_p03
6,0.5,0.3,101,50000,2x3,0.4504909529598935,6,threshold_p03
7,0.5,0.3,11,50000,1x7,0.4343772489407954,7,threshold_p03
7,0.5,0.3,29,50000,1x7,0.4218156267923941,7,threshold_p03
7,0.5,0.3,47,50000,1x7,0.42825371049764516,7,threshold_p03
7,0.5,0.3,71,50000,1x7,0.4577405281027456,7,threshold_p03
7,0.5,0.3,101,50000,1x7,0.43612576447843526,7,threshold_p03
8,0.5,0.3,11,50000,2x4,0.3753975563283836,8,threshold_p03
8,0.5,0.3,29,50000,2x4,0.41315760838577165,8,threshold_p03
8,0.5,0.3,47,50000,2x4,0.39177715910967337,8,threshold_p03
8,0.5,0.3,71,50000,2x4,0.4274749140362496,8,threshold_p03
8,0.5,0.3,101,50000,2x4,0.37489320344916127,8,threshold_p03
9,0.5,0.3,11,50000,3x3,0.3589972562963527,9,threshold_p03
9,0.5,0.3,29,50000,3x3,0.3894201128763763,9,threshold_p03
9,0.5,0.3,47,50000,3x3,0.3939363256637331,9,threshold_p03
9,0.5,0.3,71,50000,3x3,0.3487954033001276,9,threshold_p03
9,0.5,0.3,101,50000,3x3,0.363836585699619,9,threshold_p03
10,0.5,0.3,11,50000,2x5,0.34852915193828493,9,threshold_p03
10,0.5,0.3,29,50000,2x5,0.3243908601624722,10,threshold_p03
10,0.5,0.3,47,50000,2x5,0.34168304867780475,10,threshold_p03
10,0.5,0.3,71,50000,2x5,0.34319543814862363,10,threshold_p03
10,0.5,0.3,101,50000,2x5,0.3296238376214087,10,threshold_p03
11,0.5,0.3,11,50000,1x11,0.32379604249255073,11,threshold_p03
11,0.5,0.3,29,50000,1x11,0.3149745732645614,11,threshold_p03
11,0.5,0.3,47,50000,1x11,0.32285626035660847,11,threshold_p03
11,0.5,0.3,71,50000,1x11,0.32508209813553446,11,threshold_p03
11,0.5,0.3,101,50000,1x11,0.31204606345207525,11,threshold_p03
12,0.5,0.3,11,50000,3x4,0.29976845642393285,12,threshold_p03
12,0.5,0.3,29,50000,3x4,0.3098169222547095,12,threshold_p03
12,0.5,0.3,47,50000,3x4,0.3148645389387216,12,threshold_p03
12,0.5,0.3,71,50000,3x4,0.2993355933394835,12,threshold_p03
12,0.5,0.3,101,50000,3x4,0.3001202967208465,12,threshold_p03
13,0.5,0.3,11,50000,1x13,0.3049951493787439,13,threshold_p03
