variant_id,setting_id,elbow_k,window_hours,cohort,representation,n,seed_ari,silhouette_median,label_blind_rank_sum,target_type_coverage,exact_four,names
w0150_coverage_z_level_d1_d2,paper_sigma03_lr01_seq,5,150,coverage,z_level_d1_d2,1857,0.6055566517140738,0.05928730250322993,,2,False,Hill-like;Other/mixed;Slope-like
w0200_dense_z_level_d1,random_sigma12_lr03,5,200,dense,z_level_d1,522,0.6009428043294925,0.12122413793429024,,2,False,Bridge-like;Slope-like
w1000_coverage_z_level_d1_d2,paper_sigma05_lr03_seq,5,1000,coverage,z_level_d1_d2,489,0.5946094129685898,0.059796091578592586,1604.5,2,False,Hill-like;Other/mixed;Slope-like
w0500_coverage_z_level,random_sigma12_lr03,4,500,coverage,z_level,1198,0.5907067984024573,0.2981674214273198,785.5,2,False,Slope-like;Valley-like
w0300_detail_z_level,random_sigma12_lr03,5,300,detail,z_level,1325,0.5901707867580037,0.2100266729850597,916.0,2,False,Bridge-like;Slope-like
w0750_coverage_z_level_d1_d2,random_sigma05_lr01,4,750,coverage,z_level_d1_d2,770,0.5849559168122523,0.05138946076883899,1261.5,2,False,Bridge-like;Slope-like
w0500_detail_z_level_d1_d2,random_sigma05_lr01,4,500,detail,z_level_d1_d2,1102,0.5793634016011299,0.04940422583651033,1295.0,2,False,Bridge-like;Slope-like
w1000_detail_z_level_d1_d2,paper_sigma05_lr01_seq,5,1000,detail,z_level_d1_d2,472,0.5697526714249989,0.05585655524702157,1704.0,2,False,Hill-like;Other/mixed;Slope-like
w1000_dense_z_level_d1,random_sigma12_lr03,5,1000,dense,z_level_d1,379,0.5634641772353196,0.09915284016796064,1466.0,2,False,Bridge-like;Slope-like
w0750_detail_z_level_d1,random_sigma12_lr03,4,750,detail,z_level_d1,734,0.5560485023736582,0.12181659918005508,1162.0,2,False,Hill-like;Slope-like
w0200_detail_z_level,paper_sigma03_lr01_seq,3,200,detail,z_level,1269,0.5554958590562293,0.33249799407718683,,2,False,Bridge-like;Slope-like
w0200_coverage_z_level_d1,random_sigma12_lr03,5,200,coverage,z_level_d1,1770,0.5523928006254343,0.16100557178048674,,2,False,Hill-like;Other/mixed;Slope-like
w0750_dense_z_level_d1_d2,paper_sigma03_lr01_seq,7,750,dense,z_level_d1_d2,576,0.5411207800105711,0.005945245194944673,,2,False,Hill-like;Slope-like
w1000_coverage_z_level_d1,random_sigma12_lr03,5,1000,coverage,z_level_d1,489,0.5349090155264039,0.12389929460427654,1395.0,2,False,Hill-like;Other/mixed;Slope-like
w0300_dense_z_level_d1,random_sigma05_lr01,4,300,dense,z_level_d1,682,0.5346262871444741,0.15964529576474526,1054.0,2,False,Bridge-like;Slope-like
w0150_coverage_z_level,random_sigma12_lr03,5,150,coverage,z_level,1857,0.5283970280791377,0.2890384553895267,,2,False,Bridge-like;Other/mixed;Slope-like
w0750_detail_z_level_d1_d2,paper_sigma03_lr01_seq,6,750,detail,z_level_d1_d2,734,0.5281542820734582,-0.009528312843861884,,2,False,Hill-like;Other/mixed;Slope-like
w0300_detail_z_level_d1,paper_sigma05_lr01_seq,4,300,detail,z_level_d1,1325,0.527138193482703,0.18583303723191832,962.0,2,False,Bridge-like;Slope-like
w0150_detail_z_level,random_sigma05_lr01,5,150,detail,z_level,1103,0.5207290660272634,0.28365625767084957,,2,False,Bridge-like;Other/mixed;Slope-like
w0200_coverage_z_level,random_sigma12_lr03,5,200,coverage,z_level,1770,0.518031905480982,0.2874332172049589,,2,False,Bridge-like;Other/mixed;Slope-like
